# NPB_GAMES_DATA
# UPDATED: 2025-09-04T17:48:48.535093
# FORMAT: DATE|HOME_ID|HOME_ABBR|HOME_NAME|AWAY_ID|AWAY_ABBR|AWAY_NAME|HOME_SCORE|AWAY_SCORE|LEAGUE|STATUS|IS_DRAW
2025-04-30|10|ORI|オリックスバファローズ|8|LOT|千葉ロッテマリーンズ|5|0|Pacific|completed|0
2025-04-30|7|SOF|福岡ソフトバンクホークス|12|NIP|北海道日本ハムファイターズ|1|6|Pacific|completed|0
2025-05-01|1|YOG|読売ジャイアンツ|4|HIR|広島東洋カープ|4|3|Central|completed|0
2025-05-01|6|YAK|東京ヤクルトスワローズ|3|YDB|横浜DeNAベイスターズ|0|3|Central|completed|0
2025-05-01|5|CHU|中日ドラゴンズ|2|HAN|阪神タイガース|3|2|Central|completed|0
2025-05-01|11|SEI|埼玉西武ライオンズ|9|RAK|東北楽天ゴールデンイーグルス|2|1|Pacific|completed|0
2025-05-01|7|SOF|福岡ソフトバンクホークス|12|NIP|北海道日本ハムファイターズ|2|3|Pacific|completed|0
2025-05-02|2|HAN|阪神タイガース|6|YAK|東京ヤクルトスワローズ|4|0|Central|completed|0
2025-05-02|4|HIR|広島東洋カープ|5|CHU|中日ドラゴンズ|2|4|Central|completed|0
2025-05-02|7|SOF|福岡ソフトバンクホークス|8|LOT|千葉ロッテマリーンズ|4|3|Pacific|completed|0
2025-05-03|3|YDB|横浜DeNAベイスターズ|1|YOG|読売ジャイアンツ|1|0|Central|completed|0
2025-05-03|2|HAN|阪神タイガース|6|YAK|東京ヤクルトスワローズ|7|1|Central|completed|0
2025-05-03|4|HIR|広島東洋カープ|5|CHU|中日ドラゴンズ|2|0|Central|completed|0
2025-05-03|12|NIP|北海道日本ハムファイターズ|11|SEI|埼玉西武ライオンズ|3|4|Pacific|completed|0
2025-05-03|9|RAK|東北楽天ゴールデンイーグルス|10|ORI|オリックスバファローズ|0|7|Pacific|completed|0
2025-05-03|7|SOF|福岡ソフトバンクホークス|8|LOT|千葉ロッテマリーンズ|5|0|Pacific|completed|0
2025-05-04|3|YDB|横浜DeNAベイスターズ|1|YOG|読売ジャイアンツ|1|3|Central|completed|0
2025-05-04|2|HAN|阪神タイガース|6|YAK|東京ヤクルトスワローズ|2|5|Central|completed|0
2025-05-04|4|HIR|広島東洋カープ|5|CHU|中日ドラゴンズ|9|4|Central|completed|0
2025-05-04|12|NIP|北海道日本ハムファイターズ|11|SEI|埼玉西武ライオンズ|3|2|Pacific|completed|0
2025-05-04|9|RAK|東北楽天ゴールデンイーグルス|10|ORI|オリックスバファローズ|14|3|Pacific|completed|0
2025-05-04|7|SOF|福岡ソフトバンクホークス|8|LOT|千葉ロッテマリーンズ|5|3|Pacific|completed|0
2025-05-05|1|YOG|読売ジャイアンツ|2|HAN|阪神タイガース|1|10|Central|completed|0
2025-05-05|6|YAK|東京ヤクルトスワローズ|4|HIR|広島東洋カープ|0|4|Central|completed|0
2025-05-05|5|CHU|中日ドラゴンズ|3|YDB|横浜DeNAベイスターズ|1|2|Central|completed|0
2025-05-05|11|SEI|埼玉西武ライオンズ|7|SOF|福岡ソフトバンクホークス|0|2|Pacific|completed|0
2025-05-05|8|LOT|千葉ロッテマリーンズ|9|RAK|東北楽天ゴールデンイーグルス|1|2|Pacific|completed|0
2025-05-05|10|ORI|オリックスバファローズ|12|NIP|北海道日本ハムファイターズ|1|0|Pacific|completed|0
2025-05-06|1|YOG|読売ジャイアンツ|2|HAN|阪神タイガース|1|7|Central|completed|0
2025-05-06|5|CHU|中日ドラゴンズ|3|YDB|横浜DeNAベイスターズ|0|3|Central|completed|0
2025-05-06|11|SEI|埼玉西武ライオンズ|7|SOF|福岡ソフトバンクホークス|0|10|Pacific|completed|0
2025-05-06|10|ORI|オリックスバファローズ|12|NIP|北海道日本ハムファイターズ|3|7|Pacific|completed|0
2025-05-07|1|YOG|読売ジャイアンツ|2|HAN|阪神タイガース|6|4|Central|completed|0
2025-05-07|6|YAK|東京ヤクルトスワローズ|4|HIR|広島東洋カープ|3|5|Central|completed|0
2025-05-07|5|CHU|中日ドラゴンズ|3|YDB|横浜DeNAベイスターズ|2|1|Central|completed|0
2025-05-07|11|SEI|埼玉西武ライオンズ|7|SOF|福岡ソフトバンクホークス|7|1|Pacific|completed|0
2025-05-07|8|LOT|千葉ロッテマリーンズ|9|RAK|東北楽天ゴールデンイーグルス|7|3|Pacific|completed|0
2025-05-07|10|ORI|オリックスバファローズ|12|NIP|北海道日本ハムファイターズ|2|2|Pacific|completed|1
2025-05-09|6|YAK|東京ヤクルトスワローズ|1|YOG|読売ジャイアンツ|5|2|Central|completed|0
2025-05-09|3|YDB|横浜DeNAベイスターズ|4|HIR|広島東洋カープ|4|3|Central|completed|0
2025-05-09|12|NIP|北海道日本ハムファイターズ|9|RAK|東北楽天ゴールデンイーグルス|2|1|Pacific|completed|0
2025-05-09|11|SEI|埼玉西武ライオンズ|8|LOT|千葉ロッテマリーンズ|1|0|Pacific|completed|0
2025-05-09|10|ORI|オリックスバファローズ|7|SOF|福岡ソフトバンクホークス|1|11|Pacific|completed|0
2025-05-10|6|YAK|東京ヤクルトスワローズ|1|YOG|読売ジャイアンツ|2|3|Central|completed|0
2025-05-10|3|YDB|横浜DeNAベイスターズ|4|HIR|広島東洋カープ|3|5|Central|completed|0
2025-05-10|2|HAN|阪神タイガース|5|CHU|中日ドラゴンズ|2|0|Central|completed|0
2025-05-10|12|NIP|北海道日本ハムファイターズ|9|RAK|東北楽天ゴールデンイーグルス|8|7|Pacific|completed|0
2025-05-10|11|SEI|埼玉西武ライオンズ|8|LOT|千葉ロッテマリーンズ|7|0|Pacific|completed|0
2025-05-10|10|ORI|オリックスバファローズ|7|SOF|福岡ソフトバンクホークス|6|1|Pacific|completed|0
2025-05-11|6|YAK|東京ヤクルトスワローズ|1|YOG|読売ジャイアンツ|2|1|Central|completed|0
2025-05-11|3|YDB|横浜DeNAベイスターズ|4|HIR|広島東洋カープ|4|2|Central|completed|0
2025-05-11|2|HAN|阪神タイガース|5|CHU|中日ドラゴンズ|1|0|Central|completed|0
2025-05-11|12|NIP|北海道日本ハムファイターズ|9|RAK|東北楽天ゴールデンイーグルス|4|0|Pacific|completed|0
2025-05-11|11|SEI|埼玉西武ライオンズ|8|LOT|千葉ロッテマリーンズ|10|0|Pacific|completed|0
2025-05-11|10|ORI|オリックスバファローズ|7|SOF|福岡ソフトバンクホークス|1|7|Pacific|completed|0
2025-05-13|3|YDB|横浜DeNAベイスターズ|2|HAN|阪神タイガース|1|1|Central|completed|1
